Category ID,Category Name,Category Slug,Parent Category,Description
cat_impresoras_y_consumibles,Impresoras y Consumibles,impresoras-y-consumibles,,Productos de Impresoras y Consumibles
cat_impresoras_y_consumibles_impresoras_térmicas_de_etiquetas,Impresoras Térmicas de Etiquetas,impresoras-térmicas-de-etiquetas,Impresoras y Consumibles,Productos de Impresoras Térmicas de Etiquetas
cat_impresoras_y_consumibles_impresoras_térmicas_de_etiquetas_impresoras_industriales,Impresoras Industriales,impresoras-industriales,Impresoras Térmicas de Etiquetas,Productos de Impresoras Industriales
cat_impresoras_y_consumibles_impresoras_térmicas_de_etiquetas_impresoras_móviles,Impresoras Móviles,impresoras-móviles,Impresoras Térmicas de Etiquetas,Productos de Impresoras Móviles
cat_impresoras_y_consumibles_impresoras_térmicas_de_etiquetas_impresoras_de_sobremesa,Impresoras de Sobremesa,impresoras-de-sobremesa,Impresoras Térmicas de Etiquetas,Productos de Impresoras de Sobremesa
cat_impresoras_y_consumibles_impresoras_térmicas_de_rollo,Impresoras Térmicas de Rollo,impresoras-térmicas-de-rollo,Impresoras y Consumibles,Productos de Impresoras Térmicas de Rollo
cat_impresoras_y_consumibles_impresoras_térmicas_de_rollo_impresoras_portátiles,Impresoras Portátiles,impresoras-portátiles,Impresoras Térmicas de Rollo,Productos de Impresoras Portátiles
cat_impresoras_y_consumibles_impresoras_térmicas_de_rollo_impresoras_de_boletas,Impresoras de Boletas,impresoras-de-boletas,Impresoras Térmicas de Rollo,Productos de Impresoras de Boletas
cat_impresoras_y_consumibles_impresoras_térmicas_de_rollo_impresoras_de_tickets,Impresoras de Tickets,impresoras-de-tickets,Impresoras Térmicas de Rollo,Productos de Impresoras de Tickets
cat_impresoras_y_consumibles_consumibles_para_impresoras_térmicas,Consumibles para Impresoras Térmicas,consumibles-para-impresoras-térmicas,Impresoras y Consumibles,Productos de Consumibles para Impresoras Térmicas
cat_impresoras_y_consumibles_consumibles_para_impresoras_térmicas_etiquetas_adhesivas,Etiquetas Adhesivas,etiquetas-adhesivas,Consumibles para Impresoras Térmicas,Productos de Etiquetas Adhesivas
cat_impresoras_y_consumibles_consumibles_para_impresoras_térmicas_ribbons_para_impresoras_de_etiquetas,Ribbons para Impresoras de Etiquetas,ribbons-para-impresoras-de-etiquetas,Consumibles para Impresoras Térmicas,Productos de Ribbons para Impresoras de Etiquetas
cat_impresoras_y_consumibles_consumibles_para_impresoras_térmicas_rollos_de_papel_térmico,Rollos de Papel Térmico,rollos-de-papel-térmico,Consumibles para Impresoras Térmicas,Productos de Rollos de Papel Térmico
